# This file is part of ICU4X. For terms of use, please see the file
# called LICENSE at the top level of the ICU4X source tree
# (online at: https://github.com/unicode-org/icu4x/blob/main/LICENSE ).

かげやま,みのる
むらかみ,とおる
つじさわ,けい
やすい,たかゆき
むらさき,としお
はせがわ,ひであき
うるしばら,よしひこ
ままだ,ひろし
おおぼら,えいじろう
おおば,まさひで
きたばたけ,たかひこ
はまさき,あつし
ほりい,つねお
もり,だいいち
いとう,しんいち
くにもと,じゅんじ
おか,のりひと
たに,よしあき
しらがき,ひろあき
しらはま,たけひろ
むらかみ,やすひろ
うめはら,たかし
いわた,ひろし
すぎえ,かつとし
てらにし,ひろみつ
まつおか,だいすけ
もろほし,すすむ
いしはら,たかし
おしま,ひろお
なかお,ゆうじ
いかり,はるお
きまち,まさき
ふるかわ,みちお
かねこ,しゅうへい
なかがわ,ともみ
ささき,しんご
うちだ,たくじ
うめだ,さかえ
しばた,いくこ
まきした,けいこ
まつもと,しんいちろう
たかの,かずよし
いしわた,なおひさ
いうち,まこと
いまい,りほ
みずた,のりあき
かくたに,まなぶ
わだ,ほまれ
わかまつ,かずき
かわぐち,ひろき
