# This file is part of ICU4X. For terms of use, please see the file
# called LICENSE at the top level of the ICU4X source tree
# (online at: https://github.com/unicode-org/icu4x/blob/main/LICENSE ).

ホリモト,ユウジ
ハナミ,ヤスヒデ
イシザカ,タカユキ
ゼンケ,トシオ
ハトリ,ユウコ
ナガオカ,トモユキ
コウダ,ケンイチ
イシダ,ヒロシ
ミワ,シゲユキ
イシカワ,ヒロシ
スズキ,ユウスケ
オクダ,ヨシノリ
シムラ,サカエ
エビシマ,ヤスユキ
イブカ,ヨシテル
タノ,マコト
ドウゾノ,セイヤ
ヤマナカ,サツミ
トミイエ,ハヤト
アザミ,ツトム
タナカ,キョウコ
コジマ,アツシ
フミハラ,カオリ
スズキ,マサユキ
ナトリ,ケンヤ
スズキ,ユウコ
スズキ,ヒサエ
ナカガワ,カツヨシ
スズキ,マサフミ
マツヤマ,トシオ
ヨシナガ,チカエ
キタムラ,リカコ
アオキ,タクオ
ヤマグチ,ヤスヒロ
スギムラ,シゲオ
ウエスギ,マサミ
マツムラ,シンイチ
クバ,タカシ
スドウ,タカトシ
フジモト,ヒロシ
イトウ,シュウイチ
コバヤシ,カズミ
タナカ,ヒロカツ
イシダ,ツカサ
ヤマダ,マサコ
カミヤ,トミエ
タケモト,ユウジ
スミノ,コウジ
ヒロハタ,タクヤ
ミヒラ,リョウヘイ
