==================================
Code Page 437, Consolas font
==================================

Options: -face "Consolas" -family 0x36
Chars: A2 A3 2014 3044 30FC 4000

FontSurvey "-face \"Consolas\" -family 0x36"

Windows 7
---------

Size   1: 1,3     BAD  (HHHHHH)
Size   2: 1,2     BAD  (HHHHHH)
Size   3: 1,3     BAD  (HHHHHH)
Size   4: 2,4     BAD  (HHHHHH)
Size   5: 2,5     BAD  (HHHHHH)
Size   6: 3,6     BAD  (HHHHHH)
Size   7: 3,6     BAD  (HHHHHH)
Size   8: 4,8     BAD  (HHHHHH)
Size   9: 4,9     BAD  (HHHHHH)
Size  10: 5,10    BAD  (HHHHHH)
Size  11: 5,11    BAD  (HHHHHH)
Size  12: 6,12    BAD  (HHHHHH)
Size  13: 6,13    BAD  (HHHHHH)
Size  14: 7,14    BAD  (HHHHHH)
Size  15: 7,15    BAD  (HHHHHH)
Size  16: 8,16    BAD  (HHHHHH)
Size  17: 8,17    BAD  (HHHHHH)
Size  18: 8,18    BAD  (HHHHHH)
Size  19: 9,19    BAD  (HHHHHH)
Size  20: 9,20    BAD  (HHHHHH)
Size  21: 10,22   BAD  (HHHHHH)
Size  22: 10,22   BAD  (HHHHHH)
Size  23: 11,23   BAD  (HHHHHH)
Size  24: 11,24   BAD  (HHHHHH)
Size  25: 12,25   BAD  (HHHHHH)
Size  26: 12,26   BAD  (HHHHHH)
Size  27: 13,27   BAD  (HHHHHH)
Size  28: 13,28   BAD  (HHHHHH)
Size  29: 14,29   BAD  (HHHHHH)
Size  30: 14,30   BAD  (HHHHHH)
Size  31: 15,31   BAD  (HHHHHH)
Size  32: 15,32   BAD  (HHHHHH)
Size  33: 15,33   BAD  (HHHHHH)
Size  34: 16,34   BAD  (HHHHHH)
Size  35: 16,36   BAD  (HHHHHH)
Size  36: 17,36   BAD  (HHHHHH)
Size  37: 17,37   BAD  (HHHHHH)
Size  38: 18,38   BAD  (HHHHHH)
Size  39: 18,39   BAD  (HHHHHH)
Size  40: 19,40   BAD  (HHHHHH)
Size  41: 19,41   BAD  (HHHHHH)
Size  42: 20,42   BAD  (HHHHHH)
Size  43: 20,43   BAD  (HHHHHH)
Size  44: 21,44   BAD  (HHHHHH)
Size  45: 21,45   BAD  (HHHHHH)
Size  46: 22,46   BAD  (HHHHHH)
Size  47: 22,47   BAD  (HHHHHH)
Size  48: 23,48   BAD  (HHHHHH)
Size  49: 23,49   BAD  (HHHHHH)
Size  50: 23,50   BAD  (HHHHHH)
Size  51: 24,51   BAD  (HHHHHH)
Size  52: 24,52   BAD  (HHHHHH)
Size  53: 25,53   BAD  (HHHHHH)
Size  54: 25,54   BAD  (HHHHHH)
Size  55: 26,55   BAD  (HHHHHH)
Size  56: 26,56   BAD  (HHHHHH)
Size  57: 27,57   BAD  (HHHHHH)
Size  58: 27,58   BAD  (HHHHHH)
Size  59: 28,59   BAD  (HHHHHH)
Size  60: 28,60   BAD  (HHHHHH)
Size  61: 29,61   BAD  (HHHHHH)
Size  62: 29,62   BAD  (HHHHHH)
Size  63: 30,64   BAD  (HHHHHH)
Size  64: 30,64   BAD  (HHHHHH)
Size  65: 31,65   BAD  (HHHHHH)
