==================================
Code Page 437, Lucida Console font
==================================

Options: -face "Lucida Console" -family 0x36
Chars: A2 A3 2014 3044 30FC 4000

FontSurvey "-face \"Lucida Console\" -family 0x36"

Vista
-----

Size   1: 1,2     BAD  (HHHHHH)
Size   2: 1,2     BAD  (HHHHHH)
Size   3: 2,3     BAD  (HHHHHH)
Size   4: 2,4     BAD  (HHHHHH)
Size   5: 3,5     BAD  (HHHHHH)
Size   6: 4,6     BAD  (HHHHHH)
Size   7: 4,7     BAD  (HHHHHH)
Size   8: 5,8     BAD  (HHHHHH)
Size   9: 5,9     BAD  (HHHHHH)
Size  10: 6,10    BAD  (HHHHHH)
Size  11: 7,11    BAD  (HHHHHH)
Size  12: 7,12    BAD  (HHHHHH)
Size  13: 8,13    BAD  (HHHHHH)
Size  14: 8,14    BAD  (HHHHHH)
Size  15: 9,15    BAD  (HHHHHH)
Size  16: 10,16   BAD  (HHHHHH)
Size  17: 10,17   BAD  (HHHHHH)
Size  18: 11,18   BAD  (HHHHHH)
Size  19: 11,19   BAD  (HHHHHH)
Size  20: 12,20   BAD  (HHHHHH)
Size  21: 13,21   BAD  (HHHHHH)
Size  22: 13,22   BAD  (HHHHHH)
Size  23: 14,23   BAD  (HHHHHH)
Size  24: 14,24   BAD  (HHHHHH)
Size  25: 15,25   BAD  (HHHHHH)
Size  26: 16,26   BAD  (HHHHHH)
Size  27: 16,27   BAD  (HHHHHH)
Size  28: 17,28   BAD  (HHHHHH)
Size  29: 17,29   BAD  (HHHHHH)
Size  30: 18,30   BAD  (HHHHHH)
Size  31: 19,31   BAD  (HHHHHH)
Size  32: 19,32   BAD  (HHHHHH)
Size  33: 20,33   BAD  (HHHHHH)
Size  34: 20,34   BAD  (HHHHHH)
Size  35: 21,35   BAD  (HHHHHH)
Size  36: 22,36   BAD  (HHHHHH)
Size  37: 22,37   BAD  (HHHHHH)
Size  38: 23,38   BAD  (HHHHHH)
Size  39: 23,39   BAD  (HHHHHH)
Size  40: 24,40   BAD  (HHHHHH)
Size  41: 25,41   BAD  (HHHHHH)
Size  42: 25,42   BAD  (HHHHHH)
Size  43: 26,43   BAD  (HHHHHH)
Size  44: 27,44   BAD  (HHHHHH)
Size  45: 27,45   BAD  (HHHHHH)
Size  46: 28,46   BAD  (HHHHHH)
Size  47: 28,47   BAD  (HHHHHH)
Size  48: 29,48   BAD  (HHHHHH)
Size  49: 30,49   BAD  (HHHHHH)
Size  50: 30,50   BAD  (HHHHHH)
Size  51: 31,51   BAD  (HHHHHH)
Size  52: 31,52   BAD  (HHHHHH)
Size  53: 32,53   BAD  (HHHHHH)
Size  54: 33,54   BAD  (HHHHHH)
Size  55: 33,55   BAD  (HHHHHH)
Size  56: 34,56   BAD  (HHHHHH)
Size  57: 34,57   BAD  (HHHHHH)
Size  58: 35,58   BAD  (HHHHHH)
Size  59: 36,59   BAD  (HHHHHH)
Size  60: 36,60   BAD  (HHHHHH)
Size  61: 37,61   BAD  (HHHHHH)
Size  62: 37,62   BAD  (HHHHHH)
Size  63: 38,63   BAD  (HHHHHH)
Size  64: 39,65   BAD  (HHHHHH)
Size  65: 39,65   BAD  (HHHHHH)
